iso3,technology,technology_label,annual_mean_cf,def_ts01,def_ts12,def_ts288,def_reduction_pct_ts01_to_ts288,def_reduction_pct_ts01_to_ts12,pct_of_total_improvement_captured_by_ts12
AFG,spv,Solar PV,0.2809,0.5286,0.1548,0.0619,88.2814,70.7234,80.1113
AFG,won,Wind onshore,0.5655,0.346,0.2474,0.2197,36.5095,28.4892,78.0322
AGO,spv,Solar PV,0.2617,0.5101,0.1592,0.0561,89.0096,68.7926,77.2867
AGO,wof,,0.4328,0.3174,0.3017,0.2782,12.366,4.9531,40.0541
AGO,won,Wind onshore,0.1672,0.3467,0.266,0.2118,38.915,23.2818,59.8274
ALB,spv,Solar PV,0.2075,0.5472,0.2092,0.115,78.9855,61.7759,78.2116
ALB,wof,,0.3014,0.4386,0.4248,0.3935,10.2758,3.1486,30.6404
ALB,won,Wind onshore,0.0703,0.5088,0.4825,0.4552,10.5386,5.1599,48.9618
ARE,spv,Solar PV,0.2587,0.5237,0.1452,0.0388,92.5882,72.2736,78.0592
ARE,wof,,0.1944,0.5183,0.4717,0.4543,12.3604,9.007,72.8698
ARE,won,Wind onshore,0.2498,0.385,0.3673,0.3453,10.309,4.5947,44.5698
ARG,spv,Solar PV,0.2627,0.5087,0.1322,0.064,87.4283,74.021,84.6649
ARG,wof,,0.7168,0.1669,0.1649,0.1594,4.4964,1.2264,27.2751
ARG,won,Wind onshore,0.6209,0.1999,0.1915,0.1808,9.5567,4.1945,43.8907
ARM,spv,Solar PV,0.2381,0.5331,0.1998,0.0908,82.9617,62.5278,75.3695
ARM,won,Wind onshore,0.0306,0.4875,0.4666,0.4226,13.3172,4.2871,32.192
AUS,spv,Solar PV,0.2463,0.5082,0.1509,0.0474,90.6693,70.297,77.5313
AUS,wof,,0.6275,0.2279,0.224,0.2139,6.1825,1.7308,27.9951
AUS,won,Wind onshore,0.4388,0.1797,0.1608,0.151,15.9859,10.4916,65.6304
AUT,spv,Solar PV,0.1631,0.567,0.2654,0.172,69.6598,53.1855,76.3503
AUT,won,Wind onshore,0.2957,0.4333,0.4219,0.4086,5.7063,2.6319,46.1239
AZE,spv,Solar PV,0.2247,0.533,0.2002,0.0973,81.7475,62.4449,76.3875
AZE,wof,,0.3635,0.413,0.4063,0.3901,5.5532,1.6228,29.2231
AZE,won,Wind onshore,0.3085,0.3818,0.3772,0.357,6.5104,1.2076,18.5482
BDI,spv,Solar PV,0.2181,0.5271,0.1946,0.0976,81.4795,63.0765,77.414
BDI,won,Wind onshore,0.0296,0.5118,0.4099,0.3385,33.8569,19.9125,58.8136
BEL,spv,Solar PV,0.1496,0.5765,0.2702,0.1842,68.0436,53.1218,78.0703
BEL,won,Wind onshore,0.3926,0.3481,0.3311,0.3139,9.8282,4.8958,49.8141
BEN,spv,Solar PV,0.2382,0.5337,0.1805,0.0616,88.4638,66.1785,74.8086
BEN,wof,,0.1673,0.323,0.2922,0.254,21.3592,9.5409,44.6688
BEN,won,Wind onshore,0.1507,0.3814,0.2997,0.2488,34.7704,21.4163,61.5933
BFA,spv,Solar PV,0.2498,0.5289,0.186,0.0496,90.6271,64.8331,71.5384
BFA,won,Wind onshore,0.2146,0.367,0.3199,0.2642,28.009,12.8277,45.7986
BGD,spv,Solar PV,0.1956,0.5529,0.2267,0.0908,83.5786,59.005,70.5983
BGD,wof,,0.2249,0.4318,0.3855,0.34,21.2555,10.7371,50.5144
BGD,won,Wind onshore,0.1558,0.439,0.37,0.3188,27.371,15.7248,57.4507
BGR,spv,Solar PV,0.1989,0.5349,0.2085,0.1151,78.4876,61.0172,77.7411
BGR,wof,,0.3047,0.4174,0.3941,0.3772,9.6433,5.5892,57.9596
BGR,won,Wind onshore,0.2978,0.3901,0.3646,0.3498,10.3222,6.5424,63.3817
BIH,spv,Solar PV,0.1936,0.5607,0.2415,0.1493,73.3672,56.9369,77.6055
BIH,won,Wind onshore,0.0925,0.547,0.5251,0.5025,8.1254,4.0043,49.2812
BLR,spv,Solar PV,0.149,0.5878,0.2641,0.1705,70.9952,55.0733,77.5732
BLR,won,Wind onshore,0.35,0.3412,0.3169,0.2984,12.5339,7.1084,56.7133
BOL,spv,Solar PV,0.2087,0.5234,0.1845,0.1017,80.566,64.7455,80.3633
BOL,won,Wind onshore,0.3383,0.4056,0.4007,0.3786,6.6633,1.2117,18.1851
BRA,spv,Solar PV,0.235,0.5082,0.1576,0.062,87.7966,68.9954,78.5856
BRA,wof,,0.4902,0.3017,0.2932,0.286,5.1892,2.8132,54.213
BRA,won,Wind onshore,0.3764,0.201,0.1647,0.1475,26.6027,18.029,67.7716
BTN,spv,Solar PV,0.1731,0.5543,0.238,0.1227,77.8579,57.0632,73.2914
CAF,spv,Solar PV,0.2319,0.5339,0.1893,0.0713,86.6452,64.5484,74.4974
CAF,won,Wind onshore,0.2,0.4835,0.3447,0.2564,46.9673,28.6946,61.0948
CAN,spv,Solar PV,0.2147,0.5325,0.2084,0.1302,75.5552,60.8716,80.5656
CAN,wof,,0.6368,0.2386,0.2298,0.2241,6.0809,3.6919,60.7128
CAN,won,Wind onshore,0.5174,0.1652,0.1504,0.1439,12.9108,8.9488,69.3127
CHE,spv,Solar PV,0.1729,0.5673,0.2616,0.1813,68.0373,53.8812,79.1935
CHE,won,Wind onshore,0.158,0.4984,0.4754,0.4466,10.4101,4.6243,44.4208
CHL,spv,Solar PV,0.3113,0.5098,0.113,0.0312,93.8841,77.8411,82.9119
CHL,wof,,0.7547,0.1563,0.155,0.1491,4.5852,0.8177,17.8339
CHL,won,Wind onshore,0.7143,0.1688,0.1657,0.158,6.3983,1.8502,28.9175
CHN,spv,Solar PV,0.234,0.5241,0.1725,0.0542,89.6559,67.0893,74.8298
CHN,wof,,0.4433,0.1853,0.1715,0.1594,13.9645,7.4446,53.3108
CHN,won,Wind onshore,0.408,0.1981,0.1802,0.1687,14.8239,9.0319,60.9281
CIV,spv,Solar PV,0.2284,0.5296,0.1689,0.0721,86.3789,68.1185,78.8601
CIV,wof,,0.0925,0.3567,0.3263,0.2799,21.525,8.5056,39.5152
CIV,won,Wind onshore,0.0894,0.3768,0.3055,0.2411,36.0016,18.9097,52.5245
CMR,spv,Solar PV,0.2462,0.5301,0.1877,0.0576,89.1347,64.5959,72.4699
CMR,won,Wind onshore,0.2815,0.3819,0.3059,0.2408,36.9509,19.9075,53.8754
COD,spv,Solar PV,0.2352,0.5239,0.1787,0.0808,84.585,65.8963,77.9054
COD,wof,,0.0666,0.3844,0.361,0.3459,10.0028,6.0782,60.765
COD,won,Wind onshore,0.114,0.5592,0.3997,0.2914,47.8995,28.5273,59.5565
COG,spv,Solar PV,0.2034,0.5266,0.1936,0.0833,84.1776,63.2293,75.1142
COG,wof,,0.0627,0.4022,0.3727,0.3573,11.1697,7.3378,65.6938
COG,won,Wind onshore,0.0387,0.4314,0.3449,0.2705,37.3011,20.0453,53.7392
COL,spv,Solar PV,0.2226,0.5276,0.1817,0.0552,89.545,65.5603,73.215
COL,wof,,0.6957,0.2049,0.1591,0.1436,29.9403,22.3531,74.6592
COL,won,Wind onshore,0.6834,0.2154,0.1628,0.1448,32.7753,24.4511,74.6024
CRI,spv,Solar PV,0.207,0.5508,0.2038,0.0861,84.3751,62.9904,74.6552
CRI,wof,,0.4799,0.3468,0.2511,0.2077,40.1247,27.6117,68.8148
CRI,won,Wind onshore,0.1779,0.5218,0.3856,0.3197,38.7322,26.1013,67.389
CUB,spv,Solar PV,0.2372,0.5203,0.1776,0.0618,88.1199,65.8656,74.7455
CUB,wof,,0.3559,0.3298,0.3138,0.2879,12.7304,4.8566,38.1493
CUB,won,Wind onshore,0.2502,0.3389,0.3236,0.2968,12.4284,4.5196,36.3653
CYP,wof,,0.2213,0.4903,0.4695,0.44,10.27,4.2366,41.2517
CZE,spv,Solar PV,0.1529,0.578,0.273,0.1872,67.6102,52.7661,78.0447
CZE,won,Wind onshore,0.2527,0.4382,0.4097,0.3924,10.4593,6.5081,62.2234
DEU,spv,Solar PV,0.1595,0.5563,0.2544,0.173,68.9009,54.2705,78.7659
DEU,wof,,0.5059,0.3068,0.2928,0.282,8.0766,4.5713,56.5988
DEU,won,Wind onshore,0.4469,0.3146,0.2997,0.29,7.8167,4.7392,60.6285
DJI,spv,Solar PV,0.237,0.5323,0.1963,0.0524,90.1557,63.1273,70.0204
DJI,wof,,0.0772,0.4132,0.3902,0.3159,23.5317,5.5649,23.6487
DJI,won,Wind onshore,0.1739,0.3604,0.3259,0.2588,28.1826,9.5732,33.9683
DNK,spv,Solar PV,0.157,0.5784,0.2665,0.1593,72.4521,53.9247,74.4281
DNK,wof,,0.6174,0.2813,0.2677,0.25,11.0996,4.8111,43.3447
DNK,won,Wind onshore,0.5407,0.2787,0.2677,0.2582,7.3594,3.9649,53.875
DOM,spv,Solar PV,0.2389,0.5204,0.1641,0.0673,87.07,68.4755,78.6442
DOM,wof,,0.4709,0.2468,0.2202,0.2028,17.7985,10.7679,60.499
DOM,won,Wind onshore,0.181,0.2789,0.2649,0.2438,12.5929,5.0242,39.8972
DZA,spv,Solar PV,0.282,0.5203,0.1352,0.0386,92.5796,74.0155,79.9479
DZA,wof,,0.2898,0.3768,0.3632,0.3385,10.1541,3.6121,35.5727
DZA,won,Wind onshore,0.4859,0.2994,0.2836,0.2667,10.91,5.2573,48.1881
ECU,spv,Solar PV,0.1625,0.5294,0.1891,0.0828,84.3521,64.2878,76.2135
ECU,wof,,0.1402,0.3133,0.2597,0.222,29.1641,17.1295,58.735
ECU,won,Wind onshore,0.1295,0.2881,0.2223,0.1867,35.1981,22.8402,64.8904
EGY,spv,Solar PV,0.2823,0.5151,0.1489,0.0285,94.4768,71.1042,75.261
EGY,wof,,0.3604,0.3025,0.2925,0.268,11.4191,3.3082,28.9705
EGY,won,Wind onshore,0.4354,0.2577,0.2344,0.2115,17.9474,9.0393,50.3653
ERI,spv,Solar PV,0.2439,0.532,0.1651,0.0622,88.2993,68.9557,78.0931
ERI,wof,,0.5474,0.3165,0.2607,0.2013,36.3849,17.6321,48.4601
ERI,won,Wind onshore,0.5974,0.2831,0.2382,0.1842,34.9603,15.8589,45.3626
ESP,spv,Solar PV,0.242,0.5193,0.1875,0.0866,83.3206,63.8953,76.686
ESP,wof,,0.5102,0.2751,0.2669,0.2517,8.4933,2.946,34.6862
ESP,won,Wind onshore,0.2542,0.2707,0.2548,0.2347,13.3054,5.9001,44.3434
EST,spv,Solar PV,0.1467,0.5959,0.2667,0.1785,70.035,55.2436,78.88
EST,wof,,0.4483,0.3585,0.3414,0.3222,10.1334,4.7842,47.2119
EST,won,Wind onshore,0.418,0.3386,0.3177,0.2973,12.1963,6.1825,50.692
ETH,spv,Solar PV,0.2516,0.5334,0.19,0.0596,88.8197,64.3711,72.4739
ETH,won,Wind onshore,0.3912,0.2059,0.1913,0.1558,24.3518,7.0976,29.1462
FIN,spv,Solar PV,0.1592,0.611,0.2802,0.1883,69.1879,54.1375,78.2472
FIN,wof,,0.4787,0.358,0.3419,0.3232,9.705,4.4805,46.167
FIN,won,Wind onshore,0.3049,0.3603,0.3501,0.334,7.2826,2.8167,38.6768
FRA,spv,Solar PV,0.2077,0.5376,0.2061,0.1164,78.3397,61.6679,78.7185
FRA,wof,,0.5026,0.2633,0.2535,0.2415,8.2607,3.7078,44.8847
FRA,won,Wind onshore,0.4473,0.28,0.2673,0.2526,9.7852,4.5484,46.4825
GAB,spv,Solar PV,0.1923,0.5368,0.2224,0.1073,80.017,58.5669,73.1931
GAB,wof,,0.0965,0.4063,0.3039,0.262,35.5301,25.2037,70.9362
GAB,won,Wind onshore,0.029,0.3738,0.3066,0.2578,31.0305,17.9827,57.9518
GBR,spv,Solar PV,0.1448,0.5509,0.251,0.1584,71.2407,54.4448,76.4236
GBR,wof,,0.5637,0.2708,0.2581,0.2463,9.0495,4.7092,52.0381
GBR,won,Wind onshore,0.4947,0.2493,0.2335,0.2241,10.0812,6.3435,62.9237
GEO,spv,Solar PV,0.2075,0.5441,0.2242,0.1152,78.8347,58.787,74.57
GEO,wof,,0.1296,0.5922,0.5314,0.4921,16.8928,10.2645,60.7626
GEO,won,Wind onshore,0.0763,0.4309,0.4202,0.4034,6.3758,2.4793,38.8861
GHA,spv,Solar PV,0.2314,0.5292,0.1922,0.0637,87.9635,63.6776,72.3909
GHA,wof,,0.1392,0.3221,0.2929,0.2499,22.4226,9.0574,40.3939
GHA,won,Wind onshore,0.1097,0.3654,0.2814,0.2238,38.7556,22.9838,59.3043
GIN,spv,Solar PV,0.2315,0.5336,0.1766,0.0605,88.6538,66.899,75.461
GIN,wof,,0.1113,0.4937,0.4582,0.3978,19.423,7.1904,37.0198
GIN,won,Wind onshore,0.1104,0.4184,0.3311,0.2816,32.7004,20.8627,63.7994
GNB,spv,Solar PV,0.2236,0.5425,0.209,0.0695,87.1891,61.4771,70.5101
GNB,wof,,0.1862,0.4408,0.3843,0.353,19.917,12.8285,64.4097
GNB,won,Wind onshore,0.1467,0.408,0.3535,0.3182,21.9959,13.3435,60.6634
GNQ,spv,Solar PV,0.1572,0.5626,0.2304,0.0995,82.3092,59.0391,71.7285
GNQ,wof,,0.074,0.384,0.2886,0.2574,32.9761,24.8464,75.3468
GNQ,won,Wind onshore,0.0395,0.3859,0.3166,0.2638,31.6421,17.9553,56.7449
GRC,spv,Solar PV,0.2154,0.5326,0.181,0.0894,83.2137,66.0236,79.3422
GRC,wof,,0.533,0.3206,0.3011,0.2794,12.8277,6.077,47.3739
GRC,won,Wind onshore,0.5215,0.267,0.2554,0.2376,10.9926,4.3565,39.6315
GTM,spv,Solar PV,0.2257,0.5376,0.198,0.0724,86.5375,63.1705,72.9978
GTM,wof,,0.0554,0.4707,0.4548,0.4019,14.6233,3.3898,23.1808
GTM,won,Wind onshore,0.0706,0.5142,0.4504,0.3912,23.9301,12.4159,51.8841
GUY,spv,Solar PV,0.2021,0.5317,0.2037,0.0867,83.6942,61.6854,73.7033
GUY,wof,,0.3063,0.2888,0.2369,0.2113,26.8223,17.9524,66.9307
GUY,won,Wind onshore,0.1509,0.4338,0.2936,0.2192,49.4864,32.3183,65.3074
HND,spv,Solar PV,0.2366,0.5326,0.1825,0.0673,87.368,65.7252,75.228
HND,wof,,0.2728,0.3786,0.3424,0.3102,18.0518,9.5711,53.0202
HND,won,Wind onshore,0.4613,0.3503,0.3119,0.2851,18.6029,10.9621,58.9266
HRV,spv,Solar PV,0.1992,0.5525,0.2289,0.1271,76.987,58.5781,76.0883
HRV,wof,,0.2444,0.4706,0.4597,0.4381,6.897,2.3162,33.5821
HRV,won,Wind onshore,0.1855,0.5025,0.4825,0.4628,7.8971,3.9672,50.2356
HTI,spv,Solar PV,0.251,0.5243,0.1668,0.0603,88.4982,68.194,77.0569
HTI,wof,,0.305,0.4073,0.38,0.3406,16.3847,6.7141,40.9776
HTI,won,Wind onshore,0.206,0.4216,0.4016,0.3619,14.1451,4.7426,33.5279
HUN,spv,Solar PV,0.1717,0.5644,0.2399,0.1583,71.9551,57.5015,79.913
HUN,won,Wind onshore,0.2326,0.3818,0.3636,0.3468,9.157,4.7552,51.9303
IDN,spv,Solar PV,0.208,0.5235,0.1708,0.0564,89.2313,67.3771,75.5084
IDN,wof,,0.3877,0.3499,0.2792,0.2371,32.2368,20.2044,62.6749
IDN,won,Wind onshore,0.2069,0.3159,0.2439,0.198,37.3305,22.8057,61.0915
IND,spv,Solar PV,0.2333,0.528,0.1776,0.0448,91.5087,66.3634,72.5214
IND,wof,,0.297,0.2588,0.1856,0.1597,38.3093,28.3044,73.884
IND,won,Wind onshore,0.2497,0.2908,0.1992,0.1633,43.8608,31.4936,71.8034
IRL,spv,Solar PV,0.149,0.5797,0.2757,0.2004,65.4292,52.4371,80.1433
IRL,wof,,0.5881,0.3019,0.2893,0.2813,6.8187,4.1736,61.2073
IRL,won,Wind onshore,0.4407,0.3036,0.2887,0.279,8.0858,4.9052,60.6639
IRN,spv,Solar PV,0.2789,0.5166,0.1512,0.0385,92.5477,70.7229,76.4178
IRN,wof,,0.2686,0.4268,0.4027,0.3767,11.7489,5.6569,48.148
IRN,won,Wind onshore,0.4837,0.3264,0.227,0.2051,37.1649,30.4423,81.9115
IRQ,spv,Solar PV,0.2707,0.5235,0.1422,0.0522,90.0337,72.8283,80.8901
IRQ,won,Wind onshore,0.3902,0.3643,0.3339,0.3158,13.3055,8.3346,62.6403
ISR,spv,Solar PV,0.2764,0.5178,0.1545,0.0456,91.2024,70.1697,76.9385
ISR,wof,,0.1762,0.4726,0.4356,0.4099,13.2813,7.8289,58.9468
ISR,won,Wind onshore,0.1377,0.4583,0.4243,0.336,26.694,7.4123,27.7675
ITA,spv,Solar PV,0.224,0.5205,0.173,0.0643,87.6497,66.7626,76.1699
ITA,wof,,0.3831,0.3432,0.3154,0.3002,12.5234,8.0793,64.5137
ITA,won,Wind onshore,0.3151,0.2941,0.2683,0.2533,13.8936,8.7887,63.2574
JAM,spv,Solar PV,0.2407,0.5235,0.1907,0.0657,87.4448,63.5704,72.6978
JAM,wof,,0.4535,0.283,0.2561,0.2385,15.7286,9.4977,60.3852
JAM,won,Wind onshore,0.2452,0.3598,0.3246,0.2995,16.7675,9.7895,58.384
JOR,spv,Solar PV,0.2834,0.5177,0.1443,0.0414,92.0069,72.1268,78.3928
JOR,won,Wind onshore,0.2963,0.3892,0.3415,0.3109,20.1094,12.2467,60.9003
JPN,spv,Solar PV,0.1816,0.5384,0.2206,0.127,76.4174,59.0219,77.2363
JPN,wof,,0.4907,0.2659,0.2417,0.2293,13.7763,9.1289,66.2653
JPN,won,Wind onshore,0.3954,0.2112,0.1877,0.177,16.2097,11.1348,68.6921
KAZ,spv,Solar PV,0.2213,0.5322,0.1798,0.0804,84.8932,66.2266,78.0117
KAZ,wof,,0.3915,0.3693,0.3569,0.342,7.3925,3.3793,45.7133
KAZ,won,Wind onshore,0.4525,0.3426,0.334,0.3193,6.8102,2.5161,36.9465
KEN,spv,Solar PV,0.2526,0.5204,0.151,0.0596,88.5467,70.9879,80.17
KEN,wof,,0.3393,0.3173,0.2408,0.1739,45.1838,24.0955,53.3277
KEN,won,Wind onshore,0.6016,0.2544,0.2371,0.1871,26.434,6.7816,25.655
KGZ,spv,Solar PV,0.2478,0.5397,0.2112,0.1044,80.6601,60.8688,75.4633
KGZ,won,Wind onshore,0.0542,0.4153,0.4038,0.3884,6.4634,2.7611,42.7189
KHM,spv,Solar PV,0.2111,0.5445,0.2105,0.0929,82.9319,61.3431,73.9681
KHM,wof,,0.1537,0.528,0.4517,0.3962,24.9612,14.4382,57.8428
KHM,won,Wind onshore,0.1464,0.403,0.3569,0.3095,23.2042,11.4405,49.3035
KOR,spv,Solar PV,0.1911,0.5584,0.2364,0.1454,73.956,57.6751,77.9857
KOR,wof,,0.3945,0.3537,0.3399,0.3264,7.709,3.9015,50.6091
KOR,won,Wind onshore,0.289,0.3406,0.3236,0.3088,9.3368,5.0087,53.6444
KWT,spv,Solar PV,0.2585,0.5253,0.1703,0.0456,91.3258,67.5711,73.9891
KWT,wof,,0.3015,0.4077,0.3824,0.361,11.4623,6.1976,54.0695
KWT,won,Wind onshore,0.3938,0.3635,0.3356,0.3176,12.6416,7.6839,60.7825
